"","player","TVORP","year","time"
"258","matthwe01",-0.06,1988,"post"
"259","wagnemi01",0.3,1988,"post"
"260","scottby01",3.16363636363636,1989,"post"
"261","johnsma02",7.84285714285714,1989,"post"
"262","greenac01",0.486666666666667,1989,"post"
"263","thompmy01",0.62,1989,"post"
"264","abdulka01",-0.573333333333333,1989,"post"
"265","worthja01",5.88,1989,"post"
"266","coopemi01",2.74666666666667,1989,"post"
"267","woolror01",0.906666666666667,1989,"post"
"268","campbto01",0.233333333333333,1989,"post"
"269","riverda01",-0.866666666666667,1989,"post"
"270","lampje01",-0.3,1989,"post"
"271","mcnamma01",-0.166666666666667,1989,"post"
"272","onealsh01",9.15217391304348,2000,"post"
"273","ricegl01",0.826086956521739,2000,"post"
"274","bryanko01",5.04545454545454,2000,"post"
"275","harpero01",1.92173913043478,2000,"post"
"276","horryro01",2.11304347826087,2000,"post"
"277","greenac01",0.260869565217391,2000,"post"
"278","shawbr01",1.66363636363636,2000,"post"
"279","foxri01",0.226086956521739,2000,"post"
"280","fishede01",1.16190476190476,2000,"post"
"281","knightr01",-0.657142857142857,2000,"post"
"282","sallejo01",0.166666666666667,2000,"post"
"283","georgde01",-0.0555555555555556,2000,"post"
"284","onealsh01",7.375,2001,"post"
"285","bryanko01",7.775,2001,"post"
"286","fishede01",3.90625,2001,"post"
"287","foxri01",2.575,2001,"post"
"288","grantho01",0.84375,2001,"post"
"289","horryro01",2.85625,2001,"post"
"290","shawbr01",0.775,2001,"post"
"291","georgde01",-0.314285714285714,2001,"post"
"292","madsema01",-0.453846153846154,2001,"post"
"293","luety01",0.333333333333333,2001,"post"
"294","fostegr01",-0.3,2001,"post"
"295","harpero01",1.45,2001,"post"
"296","bryanko01",5.68421052631579,2002,"post"
"297","onealsh01",8.07368421052632,2002,"post"
"298","fishede01",1.31578947368421,2002,"post"
"299","foxri01",2.41578947368421,2002,"post"
"300","horryro01",5.2578947368421,2002,"post"
"301","georgde01",0.189473684210526,2002,"post"
"302","walkesa01",-0.0631578947368421,2002,"post"
"303","shawbr01",0.852631578947369,2002,"post"
"304","hunteli01",-0.433333333333333,2002,"post"
"305","madsema01",-0.285714285714286,2002,"post"
"306","medvest01",-0.371428571428571,2002,"post"
"307","richmmi01",-0.05,2002,"post"
"308","bryanko01",5.20833333333333,2003,"post"
"309","onealsh01",8.64166666666667,2003,"post"
"310","fishede01",2.71666666666667,2003,"post"
"311","foxri01",-0.325,2003,"post"
"312","horryro01",0.108333333333333,2003,"post"
"313","georgde01",1.61818181818182,2003,"post"
"314","pargoja01",-0.154545454545454,2003,"post"
"315","madsema01",-0.883333333333333,2003,"post"
"316","shawbr01",-0.325,2003,"post"
"317","walkesa01",-0.355555555555556,2003,"post"
"318","medvest01",-0.0333333333333333,2003,"post"
"319","rushka01",-0.188888888888889,2003,"post"
"320","onealsh01",6.51818181818182,2004,"post"
"321","bryanko01",6.67727272727273,2004,"post"
"322","malonka01",1.61428571428571,2004,"post"
"323","paytoga01",1.27727272727273,2004,"post"
"324","rushka01",0.204545454545455,2004,"post"
"325","foxri01",-0.19375,2004,"post"
"326","fishede01",1.47727272727273,2004,"post"
"327","georgde01",1.79545454545455,2004,"post"
"328","medvest01",0.00952380952380948,2004,"post"
"329","waltolu01",0.582352941176471,2004,"post"
"330","cookbr01",-0.476923076923077,2004,"post"
"331","russebr01",-0.183333333333333,2004,"post"
"332","bryanko01",3.92857142857143,2006,"post"
"333","waltolu01",1.01428571428571,2006,"post"
