"","VORP","time"
"486",6.17909199522103,"reg"
"487",5.47909199522103,"reg"
"488",-1.42090800477897,"reg"
"489",-0.120908004778973,"reg"
"490",2.37909199522103,"reg"
"491",2.47909199522103,"reg"
"492",-1.22090800477897,"reg"
"493",-2.32090800477897,"reg"
"494",4.77909199522103,"reg"
"495",9.17909199522103,"reg"
"496",3.37909199522103,"reg"
"497",-1.92090800477897,"reg"
"498",-2.32090800477897,"reg"
"499",-0.520908004778972,"reg"
"500",4.97909199522103,"reg"
"501",-5.92090800477897,"reg"
"502",-0.920908004778972,"reg"
"503",-5.42090800477897,"reg"
"504",3.47909199522103,"reg"
"505",2.23354838709677,"reg"
"506",9.93354838709677,"reg"
"507",1.63354838709677,"reg"
"508",-1.36645161290323,"reg"
"509",5.23354838709677,"reg"
"510",-5.16645161290323,"reg"
"511",3.63354838709677,"reg"
"512",-4.96645161290323,"reg"
"513",6.03354838709677,"reg"
"514",-8.36645161290323,"reg"
"515",6.23354838709677,"reg"
"516",0.733548387096774,"reg"
"517",1.93354838709677,"reg"
"518",6.53354838709677,"reg"
"519",3.43354838709677,"reg"
"520",6.73354838709677,"reg"
"521",13.9335483870968,"reg"
"522",-1.06645161290323,"reg"
"523",8.23354838709677,"reg"
"524",4.33354838709677,"reg"
"525",-1.16645161290323,"reg"
"526",1.03354838709677,"reg"
"527",-4.16645161290323,"reg"
"528",-4.26645161290323,"reg"
"529",2.63354838709677,"reg"
"530",1.63354838709677,"reg"
"531",1.53354838709677,"reg"
"532",2.43354838709677,"reg"
"533",11.7335483870968,"reg"
"534",-5.36645161290323,"reg"
"535",-1.46645161290323,"reg"
"536",3.03354838709677,"reg"
"537",7.43354838709677,"reg"
"538",4.53354838709677,"reg"
"539",1.03354838709677,"reg"
"540",-7.06645161290323,"reg"
"541",2.83354838709677,"reg"
"542",5.13354838709677,"reg"
"543",1.83354838709677,"reg"
"544",11.7335483870968,"reg"
"545",-5.76645161290323,"reg"
"546",3.53354838709677,"reg"
"547",3.03354838709677,"reg"
"548",2.33354838709677,"reg"
"549",3.33354838709677,"reg"
"550",-2.86645161290323,"reg"
"551",-1.46645161290323,"reg"
"552",1.33354838709677,"reg"
"553",-3.06645161290323,"reg"
"554",4.43354838709677,"reg"
"555",-1.26645161290323,"reg"
"556",5.53354838709677,"reg"
"557",-1.06645161290323,"reg"
"558",6.93354838709677,"reg"
"559",9.13354838709677,"reg"
"560",1.13354838709677,"reg"
"561",-4.66645161290323,"reg"
"562",0.533548387096774,"reg"
"563",-1.76645161290323,"reg"
"564",-4.26645161290323,"reg"
"565",0.0335483870967743,"reg"
"566",-1.16645161290323,"reg"
"567",6.33354838709677,"reg"
"568",-4.66645161290323,"reg"
"569",7.53354838709677,"reg"
"570",-2.76645161290323,"reg"
"571",7.83354838709677,"reg"
"572",8.63354838709677,"reg"
"573",-0.766451612903226,"reg"
"574",1.83354838709677,"reg"
"575",2.43354838709677,"reg"
"576",-1.36645161290323,"reg"
"577",-3.46645161290323,"reg"
"578",9.73354838709677,"reg"
"579",-1.36645161290323,"reg"
"580",-2.06645161290323,"reg"
"581",-0.966451612903226,"reg"
"582",-1.66645161290323,"reg"
"583",7.93354838709677,"reg"
"584",-1.16645161290323,"reg"
"585",4.33354838709677,"reg"
"586",1.63354838709677,"reg"
"587",7.71754385964912,"reg"
"588",15.0175438596491,"reg"
"589",12.6175438596491,"reg"
"590",9.71754385964912,"reg"
"591",8.31754385964912,"reg"
"592",-6.18245614035088,"reg"
"593",0.417543859649123,"reg"
"594",-1.08245614035088,"reg"
"595",-2.18245614035088,"reg"
"596",10.2175438596491,"reg"
"597",8.11754385964912,"reg"
"598",7.51754385964912,"reg"
"599",7.21754385964912,"reg"
"600",9.81754385964912,"reg"
"601",11.9175438596491,"reg"
"602",10.8175438596491,"reg"
"603",14.6175438596491,"reg"
"604",-4.58245614035088,"reg"
"605",8.51754385964912,"reg"
"606",1.21754385964912,"reg"
"607",8.31754385964912,"reg"
"608",-1.68245614035088,"reg"
"609",8.41754385964912,"reg"
"610",5.11754385964912,"reg"
"611",2.11754385964912,"reg"
"612",0.217543859649123,"reg"
"613",8.61754385964912,"reg"
"614",-2.38245614035088,"reg"
"615",9.61754385964912,"reg"
"616",0.217543859649123,"reg"
"617",3.11754385964912,"reg"
"618",10.2175438596491,"reg"
"619",6.11754385964912,"reg"
"620",17.2175438596491,"reg"
"621",7.51754385964912,"reg"
"622",5.01754385964912,"reg"
"623",6.11754385964912,"reg"
"624",16.0175438596491,"reg"
"625",12.4175438596491,"reg"
"626",7.01754385964912,"reg"
"627",-3.08245614035088,"reg"
"628",4.81754385964912,"reg"
"629",4.31754385964912,"reg"
"630",4.21754385964912,"reg"
"631",-0.582456140350877,"reg"
"632",13.6175438596491,"reg"
"633",-3.58245614035088,"reg"
"634",-2.28245614035088,"reg"
"635",3.41754385964912,"reg"
"636",-5.78245614035088,"reg"
"637",10.9175438596491,"reg"
"638",3.31754385964912,"reg"
"639",5.41754385964912,"reg"
"640",5.91754385964912,"reg"
"641",6.81754385964912,"reg"
"642",6.11754385964912,"reg"
"643",5.11754385964912,"reg"
"644",11.9175438596491,"reg"
"645",10.1175438596491,"reg"
"646",10.5175438596491,"reg"
"647",3.11754385964912,"reg"
"648",1.31754385964912,"reg"
"649",0.117543859649123,"reg"
"650",-0.682456140350877,"reg"
"651",1.81754385964912,"reg"
"652",7.61754385964912,"reg"
"653",-6.88245614035088,"reg"
"654",2.61754385964912,"reg"
"655",6.51754385964912,"reg"
"656",9.21754385964912,"reg"
"657",-0.582456140350877,"reg"
"658",-6.48245614035088,"reg"
"659",1.41754385964912,"reg"
"660",7.21754385964912,"reg"
"661",4.81754385964912,"reg"
"662",4.81754385964912,"reg"
"663",0.117543859649123,"reg"
"664",8.81754385964912,"reg"
"665",3.71754385964912,"reg"
"666",12.6175438596491,"reg"
"667",7.71754385964912,"reg"
"668",15.0175438596491,"reg"
"669",10.3907063197026,"reg"
"670",4.0907063197026,"reg"
"671",6.1907063197026,"reg"
"672",9.6907063197026,"reg"
"673",1.0907063197026,"reg"
"674",1.9907063197026,"reg"
"675",11.0907063197026,"reg"
"676",9.2907063197026,"reg"
"677",-1.5092936802974,"reg"
"678",8.3907063197026,"reg"
"679",8.1907063197026,"reg"
"680",4.6907063197026,"reg"
"681",5.8907063197026,"reg"
"682",4.5907063197026,"reg"
"683",13.3907063197026,"reg"
"684",8.2907063197026,"reg"
"685",11.3907063197026,"reg"
"686",9.6907063197026,"reg"
"687",13.4907063197026,"reg"
"688",10.6907063197026,"reg"
"689",10.4907063197026,"reg"
"690",2.0907063197026,"reg"
"691",22.6907063197026,"reg"
"692",8.1907063197026,"reg"
"693",8.7907063197026,"reg"
"694",7.0907063197026,"reg"
"695",8.5907063197026,"reg"
"696",9.1907063197026,"reg"
"697",7.6907063197026,"reg"
"698",-1.3092936802974,"reg"
"699",4.0907063197026,"reg"
"700",6.8907063197026,"reg"
"701",7.0907063197026,"reg"
"702",1.4907063197026,"reg"
"703",-2.0092936802974,"reg"
"704",10.1907063197026,"reg"
"705",5.1907063197026,"reg"
"706",3.5907063197026,"reg"
"707",8.5907063197026,"reg"
"708",-6.6092936802974,"reg"
"709",13.4907063197026,"reg"
"710",0.990706319702602,"reg"
"711",0.290706319702602,"reg"
"712",3.9907063197026,"reg"
"713",0.490706319702602,"reg"
"714",7.1907063197026,"reg"
"715",1.3907063197026,"reg"
"716",8.4907063197026,"reg"
"717",2.8907063197026,"reg"
"718",7.1907063197026,"reg"
"719",17.1907063197026,"reg"
"720",-2.5092936802974,"reg"
"721",2.2907063197026,"reg"
"722",8.3907063197026,"reg"
"723",-5.1092936802974,"reg"
