"","player","VORP","time","year"
"267","jordami01",8.6,"reg",1993
"268","jordami01",5.6,"reg",1993
"269","jordami01",9.7,"reg",1993
"270","jordami01",13.6,"reg",1993
"271","jordami01",25.8,"reg",1993
"272","jordami01",19.9,"reg",1993
"273","jordami01",3.4,"reg",1993
"274","jordami01",4,"reg",1993
"275","jordami01",19,"reg",1993
"276","jordami01",6.7,"reg",1993
"277","jordami01",15,"reg",1993
"278","jordami01",22,"reg",1993
"279","jordami01",13.8,"reg",1993
"280","jordami01",17.3,"reg",1993
"281","jordami01",13,"reg",1993
"282","jordami01",11,"reg",1993
"283","jordami01",11.4,"reg",1993
"284","jordami01",7.3,"reg",1993
"285","jordami01",11.3,"reg",1993
"286","jordami01",13.5,"reg",1993
"287","jordami01",15.6,"reg",1993
"288","jordami01",15.7,"reg",1993
"289","jordami01",19.4,"reg",1993
"290","jordami01",3.5,"reg",1993
"291","jordami01",8.5,"reg",1993
"292","jordami01",8.5,"reg",1993
"293","jordami01",2.4,"reg",1993
"294","jordami01",6.5,"reg",1993
"295","jordami01",19.7,"reg",1993
"296","jordami01",3.7,"reg",1993
"297","jordami01",2.6,"reg",1993
"298","jordami01",3.1,"reg",1993
"299","jordami01",9.8,"reg",1993
"300","jordami01",15.2,"reg",1993
"301","jordami01",3.1,"reg",1993
"302","jordami01",10.6,"reg",1993
"303","jordami01",13.2,"reg",1993
"304","jordami01",12.1,"reg",1993
"305","jordami01",7.6,"reg",1993
"306","jordami01",3.1,"reg",1993
"307","jordami01",16.9,"reg",1993
"308","jordami01",18,"reg",1993
"309","jordami01",7.5,"reg",1993
"310","jordami01",7.4,"reg",1993
"311","jordami01",6.8,"reg",1993
"312","jordami01",5.9,"reg",1993
"313","jordami01",15.6,"reg",1993
"314","jordami01",12.2,"reg",1993
"315","jordami01",8.2,"reg",1993
"316","jordami01",2.5,"reg",1993
"317","jordami01",11.6,"reg",1993
"318","jordami01",8.3,"reg",1993
"319","jordami01",0.4,"reg",1993
"320","jordami01",7.8,"reg",1993
"321","jordami01",10.6,"reg",1993
"322","jordami01",5.1,"reg",1993
"323","jordami01",4.4,"reg",1995
"324","jordami01",5.7,"reg",1995
"325","jordami01",-3.9,"reg",1995
"326","jordami01",4.2,"reg",1995
"327","jordami01",6,"reg",1995
"328","jordami01",9.2,"reg",1995
"329","jordami01",4.9,"reg",1995
"330","jordami01",-1.5,"reg",1995
"331","jordami01",-1.8,"reg",1995
"332","jordami01",8.1,"reg",1995
"333","jordami01",7.7,"reg",1995
"334","jordami01",12.5,"reg",1995
"335","jordami01",6.8,"reg",1995
"336","jordami01",3.8,"reg",1995
"337","jordami01",1,"reg",1995
"338","jordami01",9.6,"reg",1995
"339","jordami01",9.6,"reg",1995
"340","jordami01",14.7,"reg",1996
"341","jordami01",5.2,"reg",1996
"342","jordami01",17.3,"reg",1996
"343","jordami01",9.9,"reg",1996
"344","jordami01",5.7,"reg",1996
"345","jordami01",-0.8,"reg",1996
"346","jordami01",-1.4,"reg",1996
"347","jordami01",11.5,"reg",1996
"348","jordami01",6.5,"reg",1996
"349","jordami01",6.4,"reg",1996
"350","jordami01",7.6,"reg",1996
"351","jordami01",9.3,"reg",1996
"352","jordami01",15.7,"reg",1996
"353","jordami01",3.3,"reg",1996
"354","jordami01",14.1,"reg",1996
"355","jordami01",18.2,"reg",1996
"356","jordami01",14.5,"reg",1996
"357","jordami01",6.6,"reg",1996
"358","jordami01",11.3,"reg",1996
"359","jordami01",1.2,"reg",1996
"360","jordami01",7,"reg",1996
"361","jordami01",14.6,"reg",1996
"362","jordami01",2.4,"reg",1996
"363","jordami01",0.7,"reg",1996
"364","jordami01",8.2,"reg",1996
"365","jordami01",12,"reg",1996
"366","jordami01",6.9,"reg",1996
"367","jordami01",14.3,"reg",1996
"368","jordami01",10.8,"reg",1996
"369","jordami01",31.7,"reg",1996
"370","jordami01",11.5,"reg",1996
"371","jordami01",14,"reg",1996
"372","jordami01",1.3,"reg",1996
"373","jordami01",14.1,"reg",1996
"374","jordami01",3.8,"reg",1996
"375","jordami01",10.1,"reg",1996
"376","jordami01",19.1,"reg",1996
"377","jordami01",17.2,"reg",1996
"378","jordami01",9.5,"reg",1996
"379","jordami01",11.3,"reg",1996
"380","jordami01",4,"reg",1996
"381","jordami01",3.3,"reg",1996
"382","jordami01",10.9,"reg",1996
"383","jordami01",13.9,"reg",1996
"384","jordami01",13.5,"reg",1996
"385","jordami01",13.1,"reg",1996
"386","jordami01",2.2,"reg",1996
"387","jordami01",11.3,"reg",1996
"388","jordami01",8,"reg",1996
"389","jordami01",18.3,"reg",1996
"390","jordami01",10.2,"reg",1996
"391","jordami01",-3.6,"reg",1996
"392","jordami01",8.8,"reg",1996
"393","jordami01",8.3,"reg",1996
"394","jordami01",7.7,"reg",1996
"395","jordami01",19.7,"reg",1996
"396","jordami01",6.7,"reg",1996
"397","jordami01",16,"reg",1996
"398","jordami01",12,"reg",1996
"399","jordami01",16.5,"reg",1996
"400","jordami01",2.1,"reg",1996
"401","jordami01",1.3,"reg",1996
"402","jordami01",2.1,"reg",1996
"403","jordami01",12.8,"reg",1996
"404","jordami01",4.5,"reg",1996
"405","jordami01",18,"reg",1996
"406","jordami01",8,"reg",1996
"407","jordami01",12,"reg",1996
"408","jordami01",20.9,"reg",1996
"409","jordami01",9.7,"reg",1996
"410","jordami01",12.7,"reg",1996
"411","jordami01",6.5,"reg",1996
"412","jordami01",18.2,"reg",1996
"413","jordami01",5.8,"reg",1996
"414","jordami01",11.4,"reg",1996
"415","jordami01",10.4,"reg",1996
"416","jordami01",8.3,"reg",1996
"417","jordami01",2.6,"reg",1996
"418","jordami01",3.2,"reg",1996
"419","jordami01",15.3,"reg",1996
"420","jordami01",4.3,"reg",1996
"421","jordami01",14.1,"reg",1996
"422","jordami01",11.7,"reg",1997
"423","jordami01",9.4,"reg",1997
"424","jordami01",5.1,"reg",1997
"425","jordami01",8.8,"reg",1997
"426","jordami01",5.8,"reg",1997
"427","jordami01",2.3,"reg",1997
"428","jordami01",1.1,"reg",1997
"429","jordami01",17.3,"reg",1997
"430","jordami01",11.8,"reg",1997
"431","jordami01",15.3,"reg",1997
"432","jordami01",-3.3,"reg",1997
"433","jordami01",3.4,"reg",1997
"434","jordami01",-0.9,"reg",1997
"435","jordami01",13.5,"reg",1997
"436","jordami01",9.2,"reg",1997
"437","jordami01",6.4,"reg",1997
"438","jordami01",9.3,"reg",1997
"439","jordami01",11.7,"reg",1997
"440","jordami01",10.8,"reg",1997
"441","jordami01",15.2,"reg",1997
"442","jordami01",25.2,"reg",1997
"443","jordami01",10.1,"reg",1997
"444","jordami01",13.7,"reg",1997
"445","jordami01",8.5,"reg",1997
"446","jordami01",11,"reg",1997
"447","jordami01",14.2,"reg",1997
"448","jordami01",10.6,"reg",1997
"449","jordami01",13.7,"reg",1997
"450","jordami01",12.4,"reg",1997
"451","jordami01",4.4,"reg",1997
"452","jordami01",11.8,"reg",1997
"453","jordami01",-0.3,"reg",1997
"454","jordami01",2.6,"reg",1997
"455","jordami01",12.6,"reg",1997
"456","jordami01",0.7,"reg",1997
"457","jordami01",5.5,"reg",1997
"458","jordami01",4.8,"reg",1997
"459","jordami01",9.5,"reg",1997
"460","jordami01",9.3,"reg",1997
"461","jordami01",12.6,"reg",1997
"462","jordami01",3.3,"reg",1997
"463","jordami01",0.9,"reg",1997
"464","jordami01",18.3,"reg",1997
"465","jordami01",6.2,"reg",1997
"466","jordami01",13.4,"reg",1997
"467","jordami01",7.4,"reg",1997
"468","jordami01",10.8,"reg",1997
"469","jordami01",15.4,"reg",1997
"470","jordami01",21.4,"reg",1997
"471","jordami01",14.6,"reg",1997
"472","jordami01",4.2,"reg",1997
"473","jordami01",7.7,"reg",1997
"474","jordami01",1.8,"reg",1997
"475","jordami01",14.5,"reg",1997
"476","jordami01",16.8,"reg",1997
"477","jordami01",-1.2,"reg",1997
"478","jordami01",9.9,"reg",1997
"479","jordami01",7.1,"reg",1997
"480","jordami01",2.8,"reg",1997
"481","jordami01",9.6,"reg",1997
"482","jordami01",7.3,"reg",1997
"483","jordami01",9.2,"reg",1997
