Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
HOU,111,SAS,90,199505300SAS,1995,0,SAS,SAS-1995,-21,TRUE,TRUE,TRUE
SAS,95,HOU,100,199506010HOU,1995,1,HOU,HOU-1995,5,TRUE,TRUE,TRUE
HOU,120,ORL,118,199506070ORL,1995,0,ORL,ORL-1995,-2,TRUE,TRUE,TRUE
HOU,117,ORL,106,199506090ORL,1995,0,ORL,ORL-1995,-11,TRUE,TRUE,TRUE
ORL,103,HOU,106,199506110HOU,1995,1,HOU,HOU-1995,3,TRUE,TRUE,TRUE
ORL,101,HOU,113,199506140HOU,1995,1,HOU,HOU-1995,12,TRUE,TRUE,TRUE
HOU,87,LAL,83,199604250LAL,1996,0,LAL,LAL-1996,-4,TRUE,TRUE,TRUE
POR,102,UTA,110,199604250UTA,1996,1,UTA,UTA-1996,8,TRUE,TRUE,TRUE
MIA,85,CHI,102,199604260CHI,1996,1,CHI,CHI-1996,17,TRUE,TRUE,TRUE
HOU,94,LAL,104,199604270LAL,1996,1,LAL,LAL-1996,10,TRUE,TRUE,TRUE
POR,90,UTA,105,199604270UTA,1996,1,UTA,UTA-1996,15,TRUE,TRUE,TRUE
MIA,75,CHI,106,199604280CHI,1996,1,CHI,CHI-1996,31,TRUE,TRUE,TRUE
UTA,91,POR,94,199604290POR,1996,1,POR,POR-1996,3,TRUE,TRUE,TRUE
LAL,98,HOU,104,199604300HOU,1996,1,HOU,HOU-1996,6,TRUE,TRUE,TRUE
CHI,112,MIA,91,199605010MIA,1996,0,MIA,MIA-1996,-21,TRUE,TRUE,TRUE
UTA,90,POR,98,199605010POR,1996,1,POR,POR-1996,8,TRUE,TRUE,TRUE
LAL,94,HOU,102,199605020HOU,1996,1,HOU,HOU-1996,8,TRUE,TRUE,TRUE
HOU,75,SEA,108,199605040SEA,1996,1,SEA,SEA-1996,33,TRUE,TRUE,TRUE
POR,64,UTA,102,199605050UTA,1996,1,UTA,UTA-1996,38,TRUE,TRUE,TRUE
NYK,84,CHI,91,199605050CHI,1996,1,CHI,CHI-1996,7,TRUE,TRUE,TRUE
HOU,101,SEA,105,199605060SEA,1996,1,SEA,SEA-1996,4,TRUE,TRUE,TRUE
NYK,80,CHI,91,199605070CHI,1996,1,CHI,CHI-1996,11,TRUE,TRUE,TRUE
UTA,95,SAS,75,199605070SAS,1996,0,SAS,SAS-1996,-20,TRUE,TRUE,TRUE
UTA,77,SAS,88,199605090SAS,1996,1,SAS,SAS-1996,11,TRUE,TRUE,TRUE
SEA,115,HOU,112,199605100HOU,1996,0,HOU,HOU-1996,-3,TRUE,TRUE,TRUE
SAS,75,UTA,105,199605110UTA,1996,1,UTA,UTA-1996,30,TRUE,TRUE,TRUE
CHI,99,NYK,102,199605110NYK,1996,1,NYK,NYK-1996,3,TRUE,TRUE,TRUE
SEA,114,HOU,107,199605120HOU,1996,0,HOU,HOU-1996,-7,TRUE,TRUE,TRUE
CHI,94,NYK,91,199605120NYK,1996,0,NYK,NYK-1996,-3,TRUE,TRUE,TRUE
SAS,86,UTA,101,199605120UTA,1996,1,UTA,UTA-1996,15,TRUE,TRUE,TRUE
NYK,81,CHI,94,199605140CHI,1996,1,CHI,CHI-1996,13,TRUE,TRUE,TRUE
