Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
IND,113,BOS,104,200002090BOS,2000,0,BOS,BOS-2000,-9,FALSE,TRUE,TRUE
SAS,106,DEN,97,200002090DEN,2000,0,DEN,DEN-2000,-9,FALSE,TRUE,TRUE
TOR,108,DET,115,200002090DET,2000,1,DET,DET-2000,7,FALSE,TRUE,TRUE
MIN,81,LAL,114,200002090LAL,2000,1,LAL,LAL-2000,33,FALSE,TRUE,TRUE
LAL,88,CHI,76,200002150CHI,2000,0,CHI,CHI-2000,-12,FALSE,TRUE,TRUE
SAS,81,CLE,92,200002150CLE,2000,1,CLE,CLE-2000,11,FALSE,TRUE,TRUE
DET,102,HOU,107,200002150HOU,2000,1,HOU,HOU-2000,5,FALSE,TRUE,TRUE
BOS,101,UTA,99,200002150UTA,2000,0,UTA,UTA-2000,-2,FALSE,TRUE,TRUE
LAL,92,CHH,85,200002160CHH,2000,0,CHH,CHH-2000,-7,FALSE,TRUE,TRUE
DET,97,DAL,106,200002170DAL,2000,1,DAL,DAL-2000,9,FALSE,TRUE,TRUE
BOS,100,GSW,122,200002180GSW,2000,1,GSW,GSW-2000,22,FALSE,TRUE,TRUE
LAL,107,ORL,99,200002180ORL,2000,0,ORL,ORL-2000,-8,FALSE,TRUE,TRUE
HOU,92,SAS,116,200002180SAS,2000,1,SAS,SAS-2000,24,FALSE,TRUE,TRUE
BOS,91,SEA,94,200002190SEA,2000,1,SEA,SEA-2000,3,FALSE,TRUE,TRUE
DET,87,UTA,91,200002190UTA,2000,1,UTA,UTA-2000,4,FALSE,TRUE,TRUE
SAS,113,HOU,111,200002200HOU,2000,0,HOU,HOU-2000,-2,FALSE,TRUE,TRUE
LAL,87,PHI,84,200002200PHI,2000,0,PHI,PHI-2000,-3,FALSE,TRUE,TRUE
MIA,87,DET,95,200002210DET,2000,1,DET,DET-2000,8,FALSE,TRUE,TRUE
BOS,92,POR,105,200002210POR,2000,1,POR,POR-2000,13,FALSE,TRUE,TRUE
PHO,98,SAS,89,200002210SAS,2000,0,SAS,SAS-2000,-9,FALSE,TRUE,TRUE
LAL,97,NJN,89,200002220NJN,2000,0,NJN,NJN-2000,-8,FALSE,TRUE,TRUE
LAL,116,CLE,98,200002230CLE,2000,0,CLE,CLE-2000,-18,FALSE,TRUE,TRUE
IND,118,DET,111,200002230DET,2000,0,DET,DET-2000,-7,FALSE,TRUE,TRUE
SAS,72,CHH,70,200002240CHH,2000,0,CHH,CHH-2000,-2,FALSE,TRUE,TRUE
BOS,101,VAN,77,200002240VAN,2000,0,VAN,VAN-2000,-24,FALSE,TRUE,TRUE
SAS,91,CHI,78,200002250CHI,2000,0,CHI,CHI-2000,-13,FALSE,TRUE,TRUE
GSW,99,DET,131,200002250DET,2000,1,DET,DET-2000,32,FALSE,TRUE,TRUE
BOS,96,LAL,109,200002250LAL,2000,1,LAL,LAL-2000,13,FALSE,TRUE,TRUE
CHI,90,DET,93,200002270DET,2000,1,DET,DET-2000,3,FALSE,TRUE,TRUE
HOU,85,LAL,101,200002270LAL,2000,1,LAL,LAL-2000,16,FALSE,TRUE,TRUE
