"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"5701",6108,"MIA",109,"LAC",112,"202111110LAC",2022,0,"MIA","MIA-2022",-3,FALSE
"5702",6109,"NYK",96,"CHO",104,"202111120CHO",2022,1,"CHO","CHH-2022",8,FALSE
"5703",6110,"MIL",113,"BOS",122,"202111120BOS",2022,0,"MIL","MIL-2022",-9,FALSE
"5704",6111,"DET",78,"CLE",98,"202111120CLE",2022,0,"DET","DET-2022",-20,FALSE
"5705",6112,"POR",104,"HOU",92,"202111120HOU",2022,1,"POR","POR-2022",12,FALSE
"5706",6113,"PHO",119,"MEM",94,"202111120MEM",2022,1,"PHO","PHO-2022",25,FALSE
"5707",6114,"BRK",120,"NOP",112,"202111120NOP",2022,1,"BRK","BRK-2022",8,FALSE
"5708",6115,"SAC",103,"OKC",105,"202111120OKC",2022,0,"SAC","SAC-2022",-2,FALSE
"5709",6116,"DAL",123,"SAS",109,"202111120SAS",2022,1,"DAL","DAL-2022",14,FALSE
"5710",6117,"ATL",96,"DEN",105,"202111120DEN",2022,0,"ATL","ATL-2022",-9,FALSE
"5711",6118,"CHI",93,"GSW",119,"202111120GSW",2022,0,"CHI","CHI-2022",-26,FALSE
"5712",6119,"MIN",107,"LAL",83,"202111120LAL",2022,1,"MIN","MIN-2022",24,FALSE
"5713",6120,"MIA",111,"UTA",105,"202111130UTA",2022,1,"MIA","MIA-2022",6,FALSE
"5714",6121,"PHI",113,"IND",118,"202111130IND",2022,0,"PHI","PHI-2022",-5,FALSE
"5715",6122,"MEM",101,"NOP",112,"202111130NOP",2022,0,"MEM","MEM-2022",-11,FALSE
"5716",6123,"WAS",104,"ORL",92,"202111130ORL",2022,1,"WAS","WAS-2022",12,FALSE
"5717",6124,"DET",127,"TOR",121,"202111130TOR",2022,1,"DET","DET-2022",6,FALSE
"5718",6125,"BOS",89,"CLE",91,"202111130CLE",2022,0,"BOS","BOS-2022",-2,FALSE
"5719",6126,"MIN",102,"LAC",129,"202111130LAC",2022,0,"MIN","MIN-2022",-27,FALSE
"5720",6127,"SAS",106,"LAL",114,"202111140LAL",2022,0,"SAS","SAS-2022",-8,FALSE
