"","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin"
"5627","HOU","91","MIA","113","202104190MIA",2021,0,"HOU","HOU-2021",-22
"5628","PHO","128","MIL","127","202104190MIL",2021,1,"PHO","PHO-2021",1
"5629","OKC","107","WAS","119","202104190WAS",2021,0,"OKC","OKC-2021",-12
"5630","MEM","137","DEN","139","202104190DEN",2021,0,"MEM","MEM-2021",-2
"5631","UTA","111","LAL","97","202104190LAL",2021,1,"UTA","UTA-2021",14
"5632","ORL","96","ATL","112","202104200ATL",2021,0,"ORL","ORL-2021",-16
"5633","BRK","134","NOP","129","202104200NOP",2021,1,"BRK","BRK-2021",5
"5634","CHO","97","NYK","109","202104200NYK",2021,0,"CHO","CHH-2021",-12
"5635","LAC","113","POR","112","202104200POR",2021,1,"LAC","LAC-2021",1
"5636","MIN","134","SAC","120","202104200SAC",2021,1,"MIN","MIN-2021",14
"5637","CHI","105","CLE","121","202104210CLE",2021,0,"CHI","CHI-2021",-16
"5638","OKC","116","IND","122","202104210IND",2021,0,"OKC","OKC-2021",-6
"5639","PHO","116","PHI","113","202104210PHI",2021,1,"PHO","PHO-2021",3
"5640","BRK","103","TOR","114","202104210TOR",2021,0,"BRK","BRK-2021",-11
"5641","GSW","114","WAS","118","202104210WAS",2021,0,"GSW","GSW-2021",-4
"5642","UTA","112","HOU","89","202104210HOU",2021,1,"UTA","UTA-2021",23
"5643","ATL","127","NYK","137","202104210NYK",2021,0,"ATL","ATL-2021",-10
"5644","DET","117","DAL","127","202104210DAL",2021,0,"DET","DET-2021",-10
"5645","MIA","107","SAS","87","202104210SAS",2021,1,"MIA","MIA-2021",20
"5646","MEM","105","LAC","117","202104210LAC",2021,0,"MEM","MEM-2021",-12
"5647","DEN","106","POR","105","202104210POR",2021,1,"DEN","DEN-2021",1
"5648","MIN","125","SAC","128","202104210SAC",2021,0,"MIN","MIN-2021",-3
"5649","PHO","86","BOS","99","202104220BOS",2021,0,"PHO","PHO-2021",-13
"5650","PHI","117","MIL","124","202104220MIL",2021,0,"PHI","PHI-2021",-7
"5651","NOP","135","ORL","100","202104220ORL",2021,1,"NOP","NOP-2021",35
"5652","DET","91","SAS","106","202104220SAS",2021,0,"DET","DET-2021",-15
"5653","CHO","91","CHI","108","202104220CHI",2021,0,"CHO","CHH-2021",-17
"5654","LAL","110","DAL","115","202104220DAL",2021,0,"LAL","LAL-2021",-5
"5655","MIA","103","ATL","118","202104230ATL",2021,0,"MIA","MIA-2021",-15
"5656","BOS","104","BRK","109","202104230BRK",2021,0,"BOS","BOS-2021",-5
"5657","CLE","102","CHO","108","202104230CHO",2021,1,"CHO","CHH-2021",6
"5658","LAC","109","HOU","104","202104230HOU",2021,1,"LAC","LAC-2021",5
"5659","WAS","129","OKC","109","202104230OKC",2021,1,"WAS","WAS-2021",20
"5660","DEN","97","GSW","118","202104230GSW",2021,0,"DEN","DEN-2021",-21
"5661","MEM","130","POR","128","202104230POR",2021,1,"MEM","MEM-2021",2
"5662","TOR","103","NYK","120","202104240NYK",2021,0,"TOR","TOR-2021",-17
"5663","PHI","94","MIL","132","202104240MIL",2021,0,"PHI","PHI-2021",-38
"5664","DET","109","IND","115","202104240IND",2021,0,"DET","DET-2021",-6
"5665","CHI","101","MIA","106","202104240MIA",2021,0,"CHI","CHI-2021",-5
"5666","SAS","110","NOP","108","202104240NOP",2021,1,"SAS","SAS-2021",2
"5667","LAL","93","DAL","108","202104240DAL",2021,0,"LAL","LAL-2021",-15
"5668","MIN","101","UTA","96","202104240UTA",2021,1,"MIN","MIN-2021",5
"5669","HOU","116","DEN","129","202104240DEN",2021,0,"HOU","HOU-2021",-13
"5670","BOS","104","CHO","125","202104250CHO",2021,1,"CHO","CHH-2021",21
"5671","PHO","119","BRK","128","202104250BRK",2021,0,"PHO","PHO-2021",-9
"5672","MEM","120","POR","113","202104250POR",2021,1,"MEM","MEM-2021",7
"5673","CLE","110","WAS","119","202104250WAS",2021,0,"CLE","CLE-2021",-9
"5674","MIL","104","ATL","111","202104250ATL",2021,0,"MIL","MIL-2021",-7
"5675","IND","131","ORL","112","202104250ORL",2021,1,"IND","IND-2021",19
"5676","SAC","113","GSW","117","202104250GSW",2021,0,"SAC","SAC-2021",-4
"5677","ATL","86","DET","100","202104260DET",2021,0,"ATL","ATL-2021",-14
"5678","LAL","114","ORL","103","202104260ORL",2021,1,"LAL","LAL-2021",11
"5679","OKC","90","PHI","121","202104260PHI",2021,0,"OKC","OKC-2021",-31
"5680","SAS","146","WAS","143","202104260WAS",2021,1,"SAS","SAS-2021",3
"5681","PHO","118","NYK","110","202104260NYK",2021,1,"PHO","PHO-2021",8
"5682","CLE","96","TOR","112","202104260TOR",2021,0,"CLE","CLE-2021",-16
"5683","CHI","110","MIA","102","202104260MIA",2021,1,"CHI","CHI-2021",8
"5684","UTA","104","MIN","105","202104260MIN",2021,0,"UTA","UTA-2021",-1
"5685","LAC","103","NOP","120","202104260NOP",2021,0,"LAC","LAC-2021",-17
"5686","MEM","96","DEN","120","202104260DEN",2021,0,"MEM","MEM-2021",-24
"5687","DAL","106","SAC","113","202104260SAC",2021,0,"DAL","DAL-2021",-7
"5688","OKC","119","BOS","115","202104270BOS",2021,1,"OKC","OKC-2021",4
"5689","MIL","114","CHO","104","202104270CHO",2021,0,"CHO","CHH-2021",-10
"5690","POR","133","IND","112","202104270IND",2021,1,"POR","POR-2021",21
"5691","BRK","116","TOR","103","202104270TOR",2021,1,"BRK","BRK-2021",13
"5692","MIN","114","HOU","107","202104270HOU",2021,1,"MIN","MIN-2021",7
"5693","DAL","133","GSW","103","202104270GSW",2021,1,"DAL","DAL-2021",30
"5694","ORL","109","CLE","104","202104280CLE",2021,1,"ORL","ORL-2021",5
"5695","ATL","83","PHI","127","202104280PHI",2021,0,"ATL","ATL-2021",-44
"5696","CHO","111","BOS","120","202104280BOS",2021,0,"CHO","CHH-2021",-9
"5697","CHI","94","NYK","113","202104280NYK",2021,0,"CHI","CHI-2021",-19
"5698","LAL","107","WAS","116","202104280WAS",2021,0,"LAL","LAL-2021",-9
"5699","SAS","111","MIA","116","202104280MIA",2021,0,"SAS","SAS-2021",-5
"5700","NOP","112","DEN","114","202104280DEN",2021,0,"NOP","NOP-2021",-2
"5701","POR","130","MEM","109","202104280MEM",2021,1,"POR","POR-2021",21
"5702","LAC","101","PHO","109","202104280PHO",2021,0,"LAC","LAC-2021",-8
"5703","UTA","154","SAC","105","202104280SAC",2021,1,"UTA","UTA-2021",49
"5704","DAL","115","DET","105","202104290DET",2021,1,"DAL","DAL-2021",10
"5705","BRK","130","IND","113","202104290IND",2021,1,"BRK","BRK-2021",17
