"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"319",4761,"LAL",106,"DEN",114,"202009220DEN",2020,0,"LAL","LAL-2020",-8,TRUE
"320",4762,"BOS",109,"MIA",112,"202009230MIA",2020,0,"BOS","BOS-2020",-3,TRUE
"321",4763,"LAL",114,"DEN",108,"202009240DEN",2020,1,"LAL","LAL-2020",6,TRUE
"322",4764,"MIA",108,"BOS",121,"202009250BOS",2020,0,"MIA","MIA-2020",-13,TRUE
"323",4765,"DEN",107,"LAL",117,"202009260LAL",2020,0,"DEN","DEN-2020",-10,TRUE
"324",4766,"BOS",113,"MIA",125,"202009270MIA",2020,0,"BOS","BOS-2020",-12,TRUE
"325",4767,"MIA",98,"LAL",116,"202009300LAL",2020,0,"MIA","MIA-2020",-18,TRUE
"326",4768,"MIA",114,"LAL",124,"202010020LAL",2020,0,"MIA","MIA-2020",-10,TRUE
"327",4769,"LAL",104,"MIA",115,"202010040MIA",2020,0,"LAL","LAL-2020",-11,TRUE
"328",4770,"LAL",102,"MIA",96,"202010060MIA",2020,1,"LAL","LAL-2020",6,TRUE
"329",4771,"MIA",111,"LAL",108,"202010090LAL",2020,1,"MIA","MIA-2020",3,TRUE
"330",4772,"LAL",106,"MIA",93,"202010110MIA",2020,1,"LAL","LAL-2020",13,TRUE
"331",5859,"MIA",107,"MIL",109,"202105220MIL",2021,0,"MIA","MIA-2021",-2,TRUE
"332",5860,"DAL",113,"LAC",103,"202105220LAC",2021,1,"DAL","DAL-2021",10,TRUE
"333",5861,"BOS",93,"BRK",104,"202105220BRK",2021,0,"BOS","BOS-2021",-11,TRUE
"334",5862,"POR",123,"DEN",109,"202105220DEN",2021,1,"POR","POR-2021",14,TRUE
"335",5863,"WAS",118,"PHI",125,"202105230PHI",2021,0,"WAS","WAS-2021",-7,TRUE
"336",5864,"LAL",90,"PHO",99,"202105230PHO",2021,0,"LAL","LAL-2021",-9,TRUE
"337",5865,"ATL",107,"NYK",105,"202105230NYK",2021,1,"ATL","ATL-2021",2,TRUE
"338",5866,"MEM",112,"UTA",109,"202105230UTA",2021,1,"MEM","MEM-2021",3,TRUE
"339",5867,"MIA",98,"MIL",132,"202105240MIL",2021,0,"MIA","MIA-2021",-34,TRUE
"340",5868,"POR",109,"DEN",128,"202105240DEN",2021,0,"POR","POR-2021",-19,TRUE
"341",5869,"BOS",108,"BRK",130,"202105250BRK",2021,0,"BOS","BOS-2021",-22,TRUE
"342",5870,"LAL",109,"PHO",102,"202105250PHO",2021,1,"LAL","LAL-2021",7,TRUE
"343",5871,"DAL",127,"LAC",121,"202105250LAC",2021,1,"DAL","DAL-2021",6,TRUE
"344",5872,"WAS",95,"PHI",120,"202105260PHI",2021,0,"WAS","WAS-2021",-25,TRUE
"345",5873,"ATL",92,"NYK",101,"202105260NYK",2021,0,"ATL","ATL-2021",-9,TRUE
"346",5874,"MEM",129,"UTA",141,"202105260UTA",2021,0,"MEM","MEM-2021",-12,TRUE
"347",5875,"MIL",113,"MIA",84,"202105270MIA",2021,1,"MIL","MIL-2021",29,TRUE
"348",5876,"PHO",95,"LAL",109,"202105270LAL",2021,0,"PHO","PHO-2021",-14,TRUE
"349",5877,"DEN",120,"POR",115,"202105270POR",2021,1,"DEN","DEN-2021",5,TRUE
"350",5878,"NYK",94,"ATL",105,"202105280ATL",2021,0,"NYK","NYK-2021",-11,TRUE
"351",5879,"BRK",119,"BOS",125,"202105280BOS",2021,0,"BRK","BRK-2021",-6,TRUE
"352",5880,"LAC",118,"DAL",108,"202105280DAL",2021,1,"LAC","LAC-2021",10,TRUE
"353",5881,"MIL",120,"MIA",103,"202105290MIA",2021,1,"MIL","MIL-2021",17,TRUE
"354",5882,"DEN",95,"POR",115,"202105290POR",2021,0,"DEN","DEN-2021",-20,TRUE
"355",5883,"PHI",132,"WAS",103,"202105290WAS",2021,1,"PHI","PHI-2021",29,TRUE
"356",5884,"UTA",121,"MEM",111,"202105290MEM",2021,1,"UTA","UTA-2021",10,TRUE
"357",5885,"NYK",96,"ATL",113,"202105300ATL",2021,0,"NYK","NYK-2021",-17,TRUE
"358",5886,"PHO",100,"LAL",92,"202105300LAL",2021,1,"PHO","PHO-2021",8,TRUE
"359",5887,"BRK",141,"BOS",126,"202105300BOS",2021,1,"BRK","BRK-2021",15,TRUE
"360",5888,"LAC",106,"DAL",81,"202105300DAL",2021,1,"LAC","LAC-2021",25,TRUE
"361",5889,"PHI",114,"WAS",122,"202105310WAS",2021,0,"PHI","PHI-2021",-8,TRUE
"362",5890,"UTA",120,"MEM",113,"202105310MEM",2021,1,"UTA","UTA-2021",7,TRUE
"363",5891,"BOS",109,"BRK",123,"202106010BRK",2021,0,"BOS","BOS-2021",-14,TRUE
"364",5892,"POR",140,"DEN",147,"202106010DEN",2021,0,"POR","POR-2021",-7,TRUE
"365",5893,"LAL",85,"PHO",115,"202106010PHO",2021,0,"LAL","LAL-2021",-30,TRUE
"366",5894,"WAS",112,"PHI",129,"202106020PHI",2021,0,"WAS","WAS-2021",-17,TRUE
"367",5895,"ATL",103,"NYK",89,"202106020NYK",2021,1,"ATL","ATL-2021",14,TRUE
